¨id,kommun,post_ort_saved,personer_count,ratsit_link,created_at,updated_at
139,Malmö,1,299370,https://www.ratsit.se/personer/Malm%C3%B6-kommun,,2025-11-17 13:19:26
140,Malmö-Väster,1,129331,https://www.ratsit.se/personer/Malm%C3%B6-kommun-V%C3%A4ster,,2025-11-17 13:20:30
141,Malmö-Öster,1,170039,https://www.ratsit.se/personer/Malm%C3%B6-kommun-%C3%96ster,,2025-11-17 13:21:44
142,Malung-Sälens,1,8756,https://www.ratsit.se/personer/Malung-S%C3%A4lens-kommun,,2025-11-17 13:22:35
143,Malå,1,2427,https://www.ratsit.se/personer/Mal%C3%A5-kommun,,2025-11-17 13:23:36
144,Mariestads,1,20504,https://www.ratsit.se/personer/Mariestads-kommun,,2025-11-17 13:24:31
145,Markaryds,1,8193,https://www.ratsit.se/personer/Markaryds-kommun,,2025-11-17 13:25:24
146,Marks,1,28835,https://www.ratsit.se/personer/Marks-kommun,,2025-11-17 13:26:19
147,Melleruds,1,7588,https://www.ratsit.se/personer/Melleruds-kommun,,2025-11-17 13:27:11
148,Mjölby,1,23392,https://www.ratsit.se/personer/Mj%C3%B6lby-kommun,,2025-11-17 13:28:04
149,Mora,1,17312,https://www.ratsit.se/personer/Mora-kommun,,2025-11-17 13:28:56
150,Motala,1,35627,https://www.ratsit.se/personer/Motala-kommun,,2025-11-17 13:29:50
151,Mullsjö,1,6100,https://www.ratsit.se/personer/Mullsj%C3%B6-kommun,,2025-11-17 13:30:41
152,Munkedals,1,8505,https://www.ratsit.se/personer/Munkedals-kommun,,2025-11-17 13:31:33
153,Munkfors,1,3100,https://www.ratsit.se/personer/Munkfors-kommun,,2025-11-17 13:32:24
154,Mölndals,1,58445,https://www.ratsit.se/personer/M%C3%B6lndals-kommun,,2025-11-17 13:33:19
155,Mönsterås,1,10873,https://www.ratsit.se/personer/M%C3%B6nster%C3%A5s-kommun,,2025-11-17 13:34:11
156,Mörbylånga,1,13395,https://www.ratsit.se/personer/M%C3%B6rbyl%C3%A5nga-kommun,,2025-11-17 13:35:08
157,Nacka,1,90136,https://www.ratsit.se/personer/Nacka-kommun,,2025-11-17 13:36:13
158,Nora,1,8783,https://www.ratsit.se/personer/Nora-kommun,,2025-11-17 13:37:14
159,Norbergs,1,4526,https://www.ratsit.se/personer/Norbergs-kommun,,2025-11-17 13:38:10
160,Nordanstigs,1,7677,https://www.ratsit.se/personer/Nordanstigs-kommun,,2025-11-17 13:39:01
161,Nordmalings,1,5778,https://www.ratsit.se/personer/Nordmalings-kommun,,2025-11-17 13:39:51
162,Norrköpings,1,118779,https://www.ratsit.se/personer/Norrk%C3%B6pings-kommun,,2025-11-17 13:40:57
163,Norrtälje,1,56468,https://www.ratsit.se/personer/Norrt%C3%A4lje-kommun,,2025-11-17 13:42:02
164,Norsjö,1,3212,https://www.ratsit.se/personer/Norsj%C3%B6-kommun,,2025-11-17 13:43:03
165,Nybro,1,16375,https://www.ratsit.se/personer/Nybro-kommun,,2025-11-17 13:43:56
166,Nykvarns,1,9749,https://www.ratsit.se/personer/Nykvarns-kommun,,2025-11-17 13:44:52
167,Nyköpings,1,47745,https://www.ratsit.se/personer/Nyk%C3%B6pings-kommun,,2025-11-17 13:45:47
168,Nynäshamns,1,25051,https://www.ratsit.se/personer/Nyn%C3%A4shamns-kommun,,2025-11-17 13:46:40
169,Nässjö,1,25457,https://www.ratsit.se/personer/N%C3%A4ssj%C3%B6-kommun,,2025-11-17 13:47:45
170,Ockelbo,1,4853,https://www.ratsit.se/personer/Ockelbo-kommun,,2025-11-17 13:48:35
171,Olofströms,1,10869,https://www.ratsit.se/personer/Olofstr%C3%B6ms-kommun,,2025-11-17 13:49:27
172,Orsa,1,5892,https://www.ratsit.se/personer/Orsa-kommun,,2025-11-17 13:50:17
173,Orust,1,13090,https://www.ratsit.se/personer/Orust-kommun,,2025-11-17 13:51:10
174,Osby,1,10602,https://www.ratsit.se/personer/Osby-kommun,,2025-11-17 13:52:02
175,Oskarshamns,1,22308,https://www.ratsit.se/personer/Oskarshamns-kommun,,2025-11-17 13:53:00
176,Ovanåkers,1,9380,https://www.ratsit.se/personer/Ovan%C3%A5kers-kommun,,2025-11-17 13:53:52
177,Oxelösunds,1,9965,https://www.ratsit.se/personer/Oxel%C3%B6sunds-kommun,,2025-11-17 13:54:43
178,Pajala,1,4850,https://www.ratsit.se/personer/Pajala-kommun,,2025-11-17 13:55:42
179,Partille,1,32403,https://www.ratsit.se/personer/Partille-kommun,,2025-11-17 13:56:46
180,Perstorps,1,5829,https://www.ratsit.se/personer/Perstorps-kommun,,2025-11-17 13:57:58
181,Piteå,1,35222,https://www.ratsit.se/personer/Pite%C3%A5-kommun,,2025-11-17 13:58:55
182,Ragunda,1,4331,https://www.ratsit.se/personer/Ragunda-kommun,,2025-11-17 13:59:49
183,Robertsfors,1,5513,https://www.ratsit.se/personer/Robertsfors-kommun,,2025-11-17 14:00:40
