id,post_ort,post_nummer,post_nummer_count,post_nummer_link,created_at,updated_at
1804,Älvkarleby,814 94,469,https://www.ratsit.se/personer/%C3%84lvkarleby-kommun/%C3%84lvkarleby-81494,,
1805,Göteborg,411 01,1287,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41101,,
1806,Göteborg,411 02,897,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41102,,
1807,Göteborg,411 03,502,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41103,,
1808,Göteborg,411 04,29,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41104,,
1809,Göteborg,411 05,694,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41105,,
1810,Göteborg,411 06,81,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41106,,
1811,Göteborg,411 07,53,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41107,,
1812,Göteborg,411 08,129,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41108,,
1813,Göteborg,411 10,26,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41110,,
1814,Göteborg,411 11,669,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41111,,
1815,Göteborg,411 12,580,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41112,,
1816,Göteborg,411 13,283,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41113,,
1817,Göteborg,411 14,149,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41114,,
1818,Göteborg,411 15,46,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41115,,
1819,Göteborg,411 16,56,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41116,,
1820,Göteborg,411 17,72,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41117,,
1821,Göteborg,411 18,620,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41118,,
1822,Göteborg,411 19,619,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41119,,
1823,Göteborg,411 20,842,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41120,,
1824,Göteborg,411 21,32,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41121,,
1825,Göteborg,411 22,1024,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41122,,
1826,Göteborg,411 23,535,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41123,,
1827,Göteborg,411 24,628,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41124,,
1828,Göteborg,411 25,1253,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41125,,
1829,Göteborg,411 26,572,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41126,,
1830,Göteborg,411 27,1246,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41127,,
1831,Göteborg,411 28,756,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41128,,
1832,Göteborg,411 29,1731,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41129,,
1833,Göteborg,411 30,683,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41130,,
1834,Göteborg,411 31,1532,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41131,,
1835,Göteborg,411 32,868,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41132,,
1836,Göteborg,411 33,903,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41133,,
1837,Göteborg,411 34,946,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41134,,
1838,Göteborg,411 35,780,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41135,,
1839,Göteborg,411 36,346,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41136,,
1840,Göteborg,411 37,581,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41137,,
1841,Göteborg,411 38,222,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41138,,
1842,Göteborg,411 39,1200,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41139,,
1843,Göteborg,411 40,287,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41140,,
1844,Göteborg,411 43,1072,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41143,,
1845,Göteborg,413 01,960,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41301,,
1846,Göteborg,413 02,942,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41302,,
1847,Göteborg,413 03,394,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41303,,
1848,Göteborg,413 04,1403,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41304,,
1849,Göteborg,413 05,797,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41305,,
1850,Göteborg,413 06,1075,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41306,,
1851,Göteborg,413 07,640,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41307,,
1852,Göteborg,413 08,1358,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41308,,
1853,Göteborg,413 09,1173,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41309,,
1854,Göteborg,413 10,1265,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41310,,
1855,Göteborg,413 11,2058,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41311,,
1856,Göteborg,413 12,34,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41312,,
1857,Göteborg,413 13,1421,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41313,,
1858,Göteborg,413 14,1631,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41314,,
1859,Göteborg,413 15,1391,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41315,,
1860,Göteborg,413 16,1154,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41316,,
1861,Göteborg,413 17,1070,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41317,,
1862,Göteborg,413 18,2135,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41318,,
1863,Göteborg,413 19,1072,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41319,,
1864,Göteborg,413 20,1483,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41320,,
1865,Göteborg,413 21,952,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41321,,
1866,Göteborg,413 22,1054,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41322,,
1867,Göteborg,413 23,1490,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41323,,
1868,Göteborg,413 24,1387,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41324,,
1869,Göteborg,413 25,1103,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41325,,
1870,Göteborg,413 26,3,https://www.ratsit.se/personer/M%C3%B6lndals-kommun/G%C3%B6teborg-41326,,
1871,Göteborg,413 27,1267,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41327,,
1872,Göteborg,413 28,859,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41328,,
1873,Göteborg,413 29,150,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41329,,
1874,Göteborg,413 30,121,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41330,,
1875,Göteborg,413 46,252,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41346,,
1876,Göteborg,413 90,1,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41390,,
1877,Göteborg,414 47,692,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41447,,
1878,Göteborg,414 48,466,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41448,,
1879,Göteborg,414 49,596,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41449,,
1880,Göteborg,414 50,958,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41450,,
1881,Göteborg,414 51,482,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41451,,
1882,Göteborg,414 52,1018,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41452,,
1883,Göteborg,414 53,1040,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41453,,
1884,Göteborg,414 54,1147,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41454,,
1885,Göteborg,414 55,1181,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41455,,
1886,Göteborg,414 56,1057,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41456,,
1887,Göteborg,414 57,1287,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41457,,
1888,Göteborg,414 58,1160,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41458,,
1889,Göteborg,414 59,1261,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41459,,
1890,Göteborg,414 60,892,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41460,,
1891,Göteborg,414 61,982,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41461,,
1892,Göteborg,414 62,1141,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41462,,
1893,Göteborg,414 63,1039,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41463,,
1894,Göteborg,414 64,1099,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41464,,
1895,Göteborg,414 65,1274,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41465,,
1896,Göteborg,414 66,1021,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41466,,
1897,Göteborg,414 67,1320,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41467,,
1898,Göteborg,414 68,1130,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41468,,
1899,Göteborg,414 69,972,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41469,,
1900,Göteborg,414 70,824,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41470,,
1901,Göteborg,414 71,1086,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41471,,
1902,Göteborg,414 72,1145,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41472,,
1903,Göteborg,414 73,862,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41473,,
1904,Göteborg,414 74,774,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41474,,
1905,Göteborg,414 75,1661,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41475,,
1906,Göteborg,414 76,1148,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41476,,
1907,Göteborg,414 77,1266,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Centrum/G%C3%B6teborg-41477,,
