id,kommun,foretag_count,ratsit_link,created_at,updated_at,foretag_postort_saved
275,Vännäs kommun,1684,https://www.ratsit.se/foretag/V%C3%A4nn%C3%A4s-kommun,2025-11-17 14:03:25,2025-11-17 14:03:25,0
276,Värmdö kommun,8353,https://www.ratsit.se/foretag/V%C3%A4rmd%C3%B6-kommun,2025-11-17 14:03:25,2025-11-17 14:03:25,0
277,Värnamo kommun,5621,https://www.ratsit.se/foretag/V%C3%A4rnamo-kommun,2025-11-17 14:03:26,2025-11-17 14:03:26,0
278,Västerviks kommun,4101,https://www.ratsit.se/foretag/V%C3%A4sterviks-kommun,2025-11-17 14:03:26,2025-11-17 14:03:26,0
279,Västerås kommun,18919,https://www.ratsit.se/foretag/V%C3%A4ster%C3%A5s-kommun,2025-11-17 14:03:27,2025-11-17 14:03:27,0
280,Växjö kommun,14869,https://www.ratsit.se/foretag/V%C3%A4xj%C3%B6-kommun,2025-11-17 14:03:27,2025-11-17 14:03:27,0
281,Ydre kommun,270,https://www.ratsit.se/foretag/Ydre-kommun,2025-11-17 14:03:28,2025-11-17 14:03:28,0
282,Ystads kommun,4807,https://www.ratsit.se/foretag/Ystads-kommun,2025-11-17 14:03:28,2025-11-17 14:03:28,0
283,Åmåls kommun,1903,https://www.ratsit.se/foretag/%C3%85m%C3%A5ls-kommun,2025-11-17 14:03:29,2025-11-17 14:03:29,0
284,Ånge kommun,1315,https://www.ratsit.se/foretag/%C3%85nge-kommun,2025-11-17 14:03:29,2025-11-17 14:03:29,0
285,Åre kommun,3729,https://www.ratsit.se/foretag/%C3%85re-kommun,2025-11-17 14:03:30,2025-11-17 14:03:30,0
286,Årjängs kommun,2379,https://www.ratsit.se/foretag/%C3%85rj%C3%A4ngs-kommun,2025-11-17 14:03:30,2025-11-17 14:03:30,0
287,Åsele kommun,793,https://www.ratsit.se/foretag/%C3%85sele-kommun,2025-11-17 14:03:30,2025-11-17 14:03:30,0
288,Åstorps kommun,1687,https://www.ratsit.se/foretag/%C3%85storps-kommun,2025-11-17 14:03:31,2025-11-17 14:03:31,0
289,Åtvidabergs kommun,1489,https://www.ratsit.se/foretag/%C3%85tvidabergs-kommun,2025-11-17 14:03:31,2025-11-17 14:03:31,0
290,Älmhults kommun,2751,https://www.ratsit.se/foretag/%C3%84lmhults-kommun,2025-11-17 14:03:32,2025-11-17 14:03:32,0
291,Älvdalens kommun,1347,https://www.ratsit.se/foretag/%C3%84lvdalens-kommun,2025-11-17 14:03:32,2025-11-17 14:03:32,0
292,Älvkarleby kommun,808,https://www.ratsit.se/foretag/%C3%84lvkarleby-kommun,2025-11-17 14:03:32,2025-11-17 14:03:32,0
293,Älvsbyns kommun,1578,https://www.ratsit.se/foretag/%C3%84lvsbyns-kommun,2025-11-17 14:03:33,2025-11-17 14:03:33,0
294,Ängelholms kommun,6643,https://www.ratsit.se/foretag/%C3%84ngelholms-kommun,2025-11-17 14:03:33,2025-11-17 14:03:33,0
295,Öckerö kommun,2178,https://www.ratsit.se/foretag/%C3%96cker%C3%B6-kommun,2025-11-17 14:03:34,2025-11-17 14:03:34,0
296,Ödeshögs kommun,922,https://www.ratsit.se/foretag/%C3%96desh%C3%B6gs-kommun,2025-11-17 14:03:34,2025-11-17 14:03:34,0
297,Örebro kommun,19873,https://www.ratsit.se/foretag/%C3%96rebro-kommun,2025-11-17 14:03:35,2025-11-17 14:03:35,0
298,Örkelljunga kommun,1605,https://www.ratsit.se/foretag/%C3%96rkelljunga-kommun,2025-11-17 14:03:35,2025-11-17 14:03:35,0
299,Örnsköldsviks kommun,9177,https://www.ratsit.se/foretag/%C3%96rnsk%C3%B6ldsviks-kommun,2025-11-17 14:03:35,2025-11-17 14:03:35,0
300,Östersunds kommun,11418,https://www.ratsit.se/foretag/%C3%96stersunds-kommun,2025-11-17 14:03:36,2025-11-17 14:03:36,0
301,Österåkers kommun,7628,https://www.ratsit.se/foretag/%C3%96ster%C3%A5kers-kommun,2025-11-17 14:03:36,2025-11-17 14:03:36,0
302,Östhammars kommun,3358,https://www.ratsit.se/foretag/%C3%96sthammars-kommun,2025-11-17 14:03:37,2025-11-17 14:03:37,0
303,Östra Göinge kommun,1838,https://www.ratsit.se/foretag/%C3%96stra-G%C3%B6inge-kommun,2025-11-17 14:03:37,2025-11-17 14:03:37,0
304,Överkalix kommun,830,https://www.ratsit.se/foretag/%C3%96verkalix-kommun,2025-11-17 14:03:38,2025-11-17 14:03:38,0
305,Övertorneå kommun,1122,https://www.ratsit.se/foretag/%C3%96vertorne%C3%A5-kommun,2025-11-17 14:03:38,2025-11-17 14:03:38,0
